iter	Passed	Remaining
0	1	186
1	3	158
2	4	138
3	5	127
4	6	128
5	8	126
6	9	128
7	10	123
8	11	120
9	13	120
10	14	117
11	15	115
12	17	114
13	18	113
14	19	111
15	20	108
16	21	106
17	23	105
18	24	103
19	25	101
20	26	99
21	27	98
22	28	96
23	30	95
24	31	93
25	32	92
26	33	91
27	35	90
28	36	89
29	37	88
30	39	87
31	40	85
32	41	84
33	42	83
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	50	75
40	51	73
41	51	71
42	52	69
43	53	68
44	54	66
45	55	65
46	56	64
47	58	62
48	59	61
49	60	60
50	62	59
51	63	58
52	65	57
53	66	56
54	67	55
55	68	53
56	70	52
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	115	2
98	117	1
99	118	0
