iter	Passed	Remaining
0	146	146231
1	148	73947
2	151	50332
3	152	38090
4	154	30842
5	156	25918
6	158	22424
7	159	19788
8	161	17764
9	162	16104
10	164	14819
11	166	13740
12	169	12840
13	171	12046
14	172	11347
15	174	10752
16	176	10193
17	177	9706
18	179	9264
19	181	8901
20	183	8540
21	184	8213
22	187	7962
23	189	7693
24	191	7474
25	193	7236
26	194	7015
27	195	6799
28	197	6613
29	198	6433
30	200	6261
31	201	6100
32	203	5957
33	205	5831
34	207	5725
35	209	5603
36	210	5488
37	212	5380
38	214	5274
39	215	5171
40	216	5071
41	218	4978
42	219	4890
43	221	4814
44	223	4733
45	224	4659
46	226	4593
47	228	4524
48	229	4460
49	232	4409
50	233	4349
51	235	4288
52	236	4227
53	238	4180
54	240	4126
55	241	4077
56	243	4025
57	245	3986
58	247	3944
59	248	3900
60	250	3855
61	252	3814
62	253	3774
63	255	3742
64	257	3707
65	259	3668
66	260	3633
67	262	3601
68	264	3571
69	267	3550
70	268	3517
71	270	3486
72	272	3461
73	274	3430
74	275	3399
75	277	3370
76	279	3347
77	280	3316
78	282	3290
79	284	3268
80	286	3246
81	287	3222
82	288	3191
83	290	3169
84	292	3144
85	294	3129
86	296	3109
87	297	3086
88	299	3064
89	300	3040
90	302	3019
91	303	3000
92	305	2978
93	306	2955
94	307	2934
95	309	2913
96	311	2895
97	312	2877
98	313	2857
99	316	2846
100	317	2827
101	318	2807
102	320	2791
103	322	2774
104	323	2759
105	325	2745
106	327	2734
107	329	2722
108	331	2707
109	333	2696
110	334	2681
111	336	2670
112	353	2775
113	355	2762
114	357	2751
115	359	2738
116	360	2721
117	361	2705
118	363	2693
119	365	2679
120	367	2668
121	368	2650
122	370	2638
123	371	2623
124	372	2609
125	374	2595
126	375	2580
127	377	2572
128	379	2563
129	382	2556
130	383	2543
131	385	2533
132	386	2521
133	388	2511
134	390	2501
135	391	2489
136	393	2480
137	395	2469
138	397	2459
139	398	2449
140	400	2437
141	400	2422
142	402	2411
143	403	2401
144	406	2395
145	408	2386
146	409	2377
147	411	2366
148	412	2357
149	414	2350
150	417	2346
151	421	2351
152	423	2344
153	425	2338
154	427	2329
155	429	2323
156	431	2316
157	433	2308
158	439	2326
159	441	2319
160	442	2307
161	444	2298
162	445	2289
163	447	2283
164	449	2277
165	451	2268
166	452	2259
167	454	2251
168	456	2245
169	458	2239
170	460	2231
171	461	2223
172	463	2215
173	465	2208
174	466	2200
175	468	2192
176	469	2184
177	472	2183
178	475	2181
179	477	2173
180	478	2165
181	479	2157
182	481	2150
183	482	2141
184	484	2134
185	485	2126
186	487	2119
187	488	2110
188	489	2102
189	491	2094
190	492	2087
191	494	2079
192	495	2071
193	496	2064
194	498	2057
195	500	2052
196	502	2046
197	504	2042
198	506	2036
199	507	2029
200	509	2024
201	510	2017
202	512	2012
203	514	2006
204	515	1999
205	517	1993
206	518	1987
207	520	1980
208	521	1973
209	522	1966
210	524	1959
211	525	1953
212	527	1947
213	528	1941
214	529	1934
215	531	1927
216	532	1921
217	534	1915
218	535	1909
219	536	1902
220	538	1897
221	539	1892
222	541	1886
223	543	1882
224	547	1885
225	550	1886
226	552	1882
227	554	1876
228	555	1870
229	557	1866
230	558	1860
231	560	1854
232	561	1849
233	563	1844
234	564	1838
235	566	1833
